Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
Alabama,2015,2,1/17/2015,1140,1066,23,212,33,50,41,74,30,29,30,276,69,,,,,,,,,,,,,,,,,
Alabama,2015,3,1/24/2015,1043,965,29,178,28,61,26,63,18,25,24,257,61,,,,,,,,,,,,,,,,,
Alabama,2015,4,1/31/2015,1076,999,22,207,24,50,22,74,21,24,12,259,58,,,,,,,,,,,,,,,,,
Alabama,2015,5,2/7/2015,1110,1042,34,202,28,47,34,68,23,24,28,290,48,,,,,,,,,,,,,,,,,
Alabama,2015,6,2/14/2015,1070,998,18,194,20,46,37,69,19,34,24,280,48,,,,,,,,,,,,,,,,,
Alabama,2015,7,2/21/2015,1067,1002,15,191,26,42,23,82,18,21,21,280,63,,,,,,,,,,,,,,,,,
Alabama,2015,8,2/28/2015,1102,1043,23,192,25,62,39,87,21,17,33,283,67,,,,,,,,,,,,,,,,,
Alabama,2015,9,3/7/2015,1207,1120,32,208,32,54,24,82,22,30,25,313,51,,,,,,,,,,,,,,,,,
Alabama,2015,10,3/14/2015,1103,1014,19,218,23,51,33,84,19,17,19,265,63,,,,,,,,,,,,,,,,,
Alabama,2015,11,3/21/2015,1004,924,26,188,27,49,27,61,13,20,23,257,50,,,,,,,,,,,,,,,,,
Alabama,2015,12,3/28/2015,984,915,24,194,18,42,19,76,15,19,15,241,53,,,,,,,,,,,,,,,,,
Alabama,2015,13,4/4/2015,955,875,10,167,21,39,22,74,21,23,17,245,51,,,,,,,,,,,,,,,,,
Alabama,2015,14,4/11/2015,975,910,13,209,28,42,27,74,17,15,23,238,52,,,,,,,,,,,,,,,,,
Alabama,2015,15,4/18/2015,904,833,27,174,12,22,23,53,14,16,26,241,49,,,,,,,,,,,,,,,,,
Alabama,2015,16,4/25/2015,1000,923,16,214,20,31,22,61,13,17,23,271,44,,,,,,,,,,,,,,,,,
Alabama,2015,17,5/2/2015,983,914,27,202,19,49,22,69,13,20,20,235,61,,,,,,,,,,,,,,,,,
Alabama,2015,18,5/9/2015,920,843,12,188,21,35,15,71,15,11,23,227,40,,,,,,,,,,,,,,,,,
Alabama,2015,19,5/16/2015,924,855,17,207,23,48,12,63,15,14,18,218,60,,,,,,,,,,,,,,,,,
Alabama,2015,20,5/23/2015,911,848,19,197,14,40,22,61,23,26,19,215,52,,,,,,,,,,,,,,,,,
Alabama,2015,21,5/30/2015,912,825,16,204,19,44,15,60,17,18,16,202,50,,,,,,,,,,,,,,,,,
Alabama,2015,22,6/6/2015,901,826,16,202,21,39,12,49,20,20,17,221,60,,,,,,,,,,,,,,,,,
Alabama,2015,23,6/13/2015,906,826,21,177,19,35,14,53,12,26,17,226,48,,,,,,,,,,,,,,,,,
Alabama,2015,24,6/20/2015,903,822,10,201,21,30,10,54,19,28,21,227,47,,,,,,,,,,,,,,,,,
Alabama,2015,25,6/27/2015,931,846,14,188,18,37,16,70,21,17,25,245,40,,,,,,,,,,,,,,,,,
Alabama,2015,26,7/4/2015,906,827,18,186,24,37,11,47,11,13,20,226,52,,,,,,,,,,,,,,,,,
Alabama,2015,27,7/11/2015,927,848,12,169,23,39,20,58,19,12,17,233,61,,,,,,,,,,,,,,,,,
Alabama,2015,28,7/18/2015,919,854,22,186,16,50,18,51,10,19,23,223,65,,,,,,,,,,,,,,,,,
Alabama,2015,29,7/25/2015,920,840,16,182,19,34,16,54,13,22,19,235,47,,,,,,,,,,,,,,,,,
Alabama,2015,30,8/1/2015,903,820,13,174,21,39,,57,13,14,28,246,54,,,,,,,,,Suppressed (counts 1-9),,,,,,,,
Alabama,2015,31,8/8/2015,911,819,22,188,19,42,14,57,10,14,27,212,56,,,,,,,,,,,,,,,,,
Alabama,2015,32,8/15/2015,961,874,22,200,27,40,16,45,13,15,28,219,71,,,,,,,,,,,,,,,,,
Alabama,2015,33,8/22/2015,866,806,21,180,29,30,,61,13,11,23,220,54,,,,,,,,,Suppressed (counts 1-9),,,,,,,,
Alabama,2015,34,8/29/2015,920,848,23,189,19,41,21,58,18,15,24,231,44,,,,,,,,,,,,,,,,,
Alabama,2015,35,9/5/2015,932,851,21,185,19,44,18,46,14,15,27,236,57,,,,,,,,,,,,,,,,,
Alabama,2015,36,9/12/2015,963,881,18,195,23,35,16,69,13,,25,235,58,,,,,,,,,,,,Suppressed (counts 1-9),,,,,
Alabama,2015,37,9/19/2015,908,829,18,196,18,34,11,36,12,14,17,259,54,,,,,,,,,,,,,,,,,
Alabama,2015,38,9/26/2015,951,872,18,213,27,50,11,52,19,23,14,237,50,,,,,,,,,,,,,,,,,
Alabama,2015,39,10/3/2015,896,845,16,204,29,39,15,42,12,17,15,239,47,,,,,,,,,,,,,,,,,
Alabama,2015,40,10/10/2015,964,889,17,198,19,39,13,58,14,18,25,237,61,,,,,,,,,,,,,,,,,
Alabama,2015,41,10/17/2015,869,802,12,190,22,27,12,50,19,14,24,220,44,,,,,,,,,,,,,,,,,
Alabama,2015,42,10/24/2015,966,900,18,199,30,49,19,51,14,16,23,257,61,,,,,,,,,,,,,,,,,
Alabama,2015,43,10/31/2015,958,886,17,199,23,45,28,48,17,21,19,236,60,,,,,,,,,,,,,,,,,
Alabama,2015,44,11/7/2015,872,807,26,186,24,33,17,47,16,20,24,220,57,,,,,,,,,,,,,,,,,
Alabama,2015,45,11/14/2015,938,867,21,183,22,45,15,60,16,21,26,232,40,,,,,,,,,,,,,,,,,
Alabama,2015,46,11/21/2015,1010,940,18,181,29,41,21,81,11,21,25,264,66,,,,,,,,,,,,,,,,,
Alabama,2015,47,11/28/2015,1003,930,20,189,29,58,19,58,13,17,23,245,58,,,,,,,,,,,,,,,,,
Alabama,2015,48,12/5/2015,968,903,19,200,28,47,15,53,12,17,19,258,59,,,,,,,,,,,,,,,,,
Alabama,2015,49,12/12/2015,1022,947,18,195,19,55,17,74,18,15,22,271,54,,,,,,,,,,,,,,,,,
Alabama,2015,50,12/19/2015,989,920,16,202,31,42,11,69,15,21,13,268,62,,,,,,,,,,,,,,,,,
Alabama,2015,51,12/26/2015,1066,986,23,224,15,48,33,63,17,27,35,255,55,,,,,,,,,,,,,,,,,
Alabama,2015,52,1/2/2016,983,915,27,166,25,40,17,66,16,26,26,246,80,,,,,,,,,,,,,,,,,
Alabama,2016,1,1/9/2016,1008,938,13,211,32,44,26,62,14,15,22,256,58,,,,,,,,,,,,,,,,,
Alabama,2016,2,1/16/2016,1043,955,22,198,28,51,19,69,19,22,15,254,58,,,,,,,,,,,,,,,,,
Alabama,2016,3,1/23/2016,1029,953,20,191,26,59,20,72,11,22,20,254,60,,,,,,,,,,,,,,,,,
Alabama,2016,4,1/30/2016,1020,944,15,210,28,50,16,75,19,25,24,231,63,,,,,,,,,,,,,,,,,
Alabama,2016,5,2/6/2016,1103,1043,23,212,32,44,21,82,14,25,18,289,55,,,,,,,,,,,,,,,,,
Alabama,2016,6,2/13/2016,1098,1011,24,210,26,52,21,74,17,23,19,287,67,,,,,,,,,,,,,,,,,
Alabama,2016,7,2/20/2016,1114,1037,21,201,24,55,24,76,10,25,23,288,71,,,,,,,,,,,,,,,,,
Alabama,2016,8,2/27/2016,962,878,20,205,23,45,27,62,,21,20,240,50,,,,,,,,,,,Suppressed (counts 1-9),,,,,,
Alabama,2016,9,3/5/2016,1006,929,25,205,23,40,23,61,28,23,17,246,55,,,,,,,,,,,,,,,,,
Alabama,2016,10,3/12/2016,1035,961,27,197,25,47,17,69,21,23,27,245,55,,,,,,,,,,,,,,,,,
Alabama,2016,11,3/19/2016,1009,919,24,187,26,37,27,82,29,16,21,234,63,,,,,,,,,,,,,,,,,
Alabama,2016,12,3/26/2016,1001,917,21,182,25,50,27,65,22,21,15,253,59,,,,,,,,,,,,,,,,,
Alabama,2016,13,4/2/2016,960,897,13,201,17,41,22,73,18,25,19,242,53,,,,,,,,,,,,,,,,,
Alabama,2016,14,4/9/2016,1003,929,21,191,22,52,15,65,19,18,23,252,58,,,,,,,,,,,,,,,,,
Alabama,2016,15,4/16/2016,942,888,22,175,21,36,20,64,22,15,16,253,52,,,,,,,,,,,,,,,,,
Alabama,2016,16,4/23/2016,1011,934,16,213,20,44,11,59,20,24,19,250,51,,,,,,,,,,,,,,,,,
Alabama,2016,17,4/30/2016,966,873,19,175,20,37,,63,23,21,24,259,52,,,,,,,,,Suppressed (counts 1-9),,,,,,,,
Alabama,2016,18,5/7/2016,963,888,22,200,24,35,22,64,13,21,22,227,56,,,,,,,,,,,,,,,,,
Alabama,2016,19,5/14/2016,945,869,19,182,10,42,15,60,17,23,24,263,55,,,,,,,,,,,,,,,,,
Alabama,2016,20,5/21/2016,918,844,19,174,16,39,16,65,19,17,26,225,45,,,,,,,,,,,,,,,,,
Alabama,2016,21,5/28/2016,940,852,22,163,16,50,24,68,21,14,18,247,55,,,,,,,,,,,,,,,,,
Alabama,2016,22,6/4/2016,954,862,,205,26,48,10,59,17,18,21,233,52,,,,,Suppressed (counts 1-9),,,,,,,,,,,,
Alabama,2016,23,6/11/2016,967,866,19,191,22,37,16,58,16,22,23,234,60,,,,,,,,,,,,,,,,,
Alabama,2016,24,6/18/2016,877,803,14,176,20,44,18,47,17,16,20,224,45,,,,,,,,,,,,,,,,,
Alabama,2016,25,6/25/2016,979,887,23,174,26,47,17,64,19,17,19,248,57,,,,,,,,,,,,,,,,,
Alabama,2016,26,7/2/2016,903,814,14,199,18,57,14,50,,13,19,207,43,,,,,,,,,,,Suppressed (counts 1-9),,,,,,
Alabama,2016,27,7/9/2016,903,811,19,204,24,39,20,49,16,29,22,194,40,,,,,,,,,,,,,,,,,
Alabama,2016,28,7/16/2016,965,895,14,188,28,34,13,58,14,21,32,220,63,,,,,,,,,,,,,,,,,
Alabama,2016,29,7/23/2016,927,849,24,197,18,44,17,52,18,19,32,226,45,,,,,,,,,,,,,,,,,
Alabama,2016,30,7/30/2016,927,862,15,213,18,37,24,51,16,11,20,220,50,,,,,,,,,,,,,,,,,
Alabama,2016,31,8/6/2016,918,841,22,187,24,45,21,46,16,,24,224,55,,,,,,,,,,,,Suppressed (counts 1-9),,,,,
Alabama,2016,32,8/13/2016,921,847,11,182,27,49,11,49,12,20,22,236,46,,,,,,,,,,,,,,,,,
Alabama,2016,33,8/20/2016,979,877,23,205,19,42,10,67,14,16,18,231,51,,,,,,,,,,,,,,,,,
Alabama,2016,34,8/27/2016,942,856,18,184,20,37,11,56,16,18,24,245,51,,,,,,,,,,,,,,,,,
Alabama,2016,35,9/3/2016,918,846,19,193,21,49,21,55,,28,18,216,49,,,,,,,,,,,Suppressed (counts 1-9),,,,,,
Alabama,2016,36,9/10/2016,911,841,17,184,24,55,18,51,18,14,22,236,45,,,,,,,,,,,,,,,,,
Alabama,2016,37,9/17/2016,947,868,13,210,23,47,16,64,13,17,17,242,45,,,,,,,,,,,,,,,,,
Alabama,2016,38,9/24/2016,986,906,21,224,18,54,20,45,14,13,22,225,59,,,,,,,,,,,,,,,,,
Alabama,2016,39,10/1/2016,939,849,15,189,21,34,,62,14,14,27,235,41,,,,,,,,,Suppressed (counts 1-9),,,,,,,,
Alabama,2016,40,10/8/2016,958,866,18,199,12,38,15,53,17,17,20,220,51,,,,,,,,,,,,,,,,,
Alabama,2016,41,10/15/2016,973,900,21,203,15,53,17,68,17,17,33,224,52,,,,,,,,,,,,,,,,,
Alabama,2016,42,10/22/2016,907,829,11,174,19,53,12,53,18,15,15,224,55,,,,,,,,,,,,,,,,,
Alabama,2016,43,10/29/2016,964,891,24,213,20,45,15,60,15,12,28,220,56,,,,,,,,,,,,,,,,,
Alabama,2016,44,11/5/2016,952,873,20,187,24,49,12,62,25,23,18,213,50,,,,,,,,,,,,,,,,,
Alabama,2016,45,11/12/2016,1028,957,31,196,22,48,18,56,13,22,25,241,50,,,,,,,,,,,,,,,,,
Alabama,2016,46,11/19/2016,1004,932,22,196,16,49,25,52,11,22,25,241,61,,,,,,,,,,,,,,,,,
Alabama,2016,47,11/26/2016,1029,957,17,201,27,59,18,71,19,26,18,239,60,,,,,,,,,,,,,,,,,
Alabama,2016,48,12/3/2016,1032,949,22,185,26,61,18,67,13,13,33,257,54,,,,,,,,,,,,,,,,,
Alabama,2016,49,12/10/2016,1057,966,20,221,15,60,22,66,22,16,29,252,63,,,,,,,,,,,,,,,,,
Alabama,2016,50,12/17/2016,1049,972,17,197,21,48,13,78,22,14,26,275,71,,,,,,,,,,,,,,,,,
Alabama,2016,51,12/24/2016,1134,1048,15,212,26,58,34,72,26,18,31,280,64,,,,,,,,,,,,,,,,,
Alabama,2016,52,12/31/2016,1104,1027,26,193,23,62,24,67,15,20,36,282,68,,,,,,,,,,,,,,,,,
Alabama,2017,1,1/7/2017,1121,1049,24,209,25,52,29,76,26,21,25,302,58,,,,,,,,,,,,,,,,,
Alabama,2017,2,1/14/2017,1130,1046,19,222,29,56,33,79,21,20,18,272,50,,,,,,,,,,,,,,,,,
Alabama,2017,3,1/21/2017,1048,968,23,189,23,58,35,69,14,15,20,278,60,,,,,,,,,,,,,,,,,
Alabama,2017,4,1/28/2017,1026,943,28,190,24,57,24,66,12,14,20,254,59,,,,,,,,,,,,,,,,,
Alabama,2017,5,2/4/2017,1036,934,17,192,26,56,16,73,17,17,21,236,43,,,,,,,,,,,,,,,,,
Alabama,2017,6,2/11/2017,1057,984,20,197,22,60,32,88,25,16,24,272,53,,,,,,,,,,,,,,,,,
Alabama,2017,7,2/18/2017,1060,974,22,175,35,49,27,103,16,24,20,269,53,,,,,,,,,,,,,,,,,
Alabama,2017,8,2/25/2017,1099,1013,21,186,28,71,33,85,21,18,22,258,60,,,,,,,,,,,,,,,,,
Alabama,2017,9,3/4/2017,1081,1004,28,197,31,46,33,75,22,25,20,264,60,,,,,,,,,,,,,,,,,
Alabama,2017,10,3/11/2017,1011,920,17,170,24,53,36,75,16,16,26,247,56,,,,,,,,,,,,,,,,,
Alabama,2017,11,3/18/2017,1067,993,21,209,24,63,27,71,25,27,17,287,44,,,,,,,,,,,,,,,,,
Alabama,2017,12,3/25/2017,1068,977,11,190,24,53,30,68,20,21,31,264,70,,,,,,,,,,,,,,,,,
Alabama,2017,13,4/1/2017,991,903,20,193,22,48,13,64,19,20,22,246,47,,,,,,,,,,,,,,,,,
Alabama,2017,14,4/8/2017,1037,963,29,213,25,54,18,70,25,10,29,239,58,,,,,,,,,,,,,,,,,
Alabama,2017,15,4/15/2017,1017,941,22,207,26,53,20,69,23,22,29,219,49,,,,,,,,,,,,,,,,,
Alabama,2017,16,4/22/2017,966,894,22,189,25,61,32,65,14,16,17,229,47,,,,,,,,,,,,,,,,,
Alabama,2017,17,4/29/2017,995,917,13,190,19,40,18,63,14,17,15,268,61,,,,,,,,,,,,,,,,,
Alabama,2017,18,5/6/2017,907,839,14,171,22,41,16,52,19,13,19,225,57,,,,,,,,,,,,,,,,,
Alabama,2017,19,5/13/2017,1064,982,22,200,25,51,19,56,20,16,25,269,64,,,,,,,,,,,,,,,,,
Alabama,2017,20,5/20/2017,998,906,17,198,17,52,22,48,20,17,24,234,65,,,,,,,,,,,,,,,,,
Alabama,2017,21,5/27/2017,988,889,21,199,19,37,22,65,16,11,15,236,56,,,,,,,,,,,,,,,,,
Alabama,2017,22,6/3/2017,924,850,16,189,13,28,18,67,16,27,22,234,45,,,,,,,,,,,,,,,,,
Alabama,2017,23,6/10/2017,984,889,21,209,26,55,17,50,15,22,27,230,57,,,,,,,,,,,,,,,,,
Alabama,2017,24,6/17/2017,918,832,17,188,16,44,11,56,17,13,18,218,43,,,,,,,,,,,,,,,,,
Alabama,2017,25,6/24/2017,961,873,17,186,21,48,22,58,13,13,16,244,61,,,,,,,,,,,,,,,,,
Alabama,2017,26,7/1/2017,925,839,13,187,25,40,16,56,11,24,23,235,44,,,,,,,,,,,,,,,,,
Alabama,2017,27,7/8/2017,954,859,13,192,23,30,17,58,12,16,19,230,62,,,,,,,,,,,,,,,,,
Alabama,2017,28,7/15/2017,968,888,13,205,21,41,17,46,20,18,21,247,55,,,,,,,,,,,,,,,,,
Alabama,2017,29,7/22/2017,964,875,14,200,19,45,22,59,19,14,25,219,63,,,,,,,,,,,,,,,,,
Alabama,2017,30,7/29/2017,888,805,13,201,17,38,23,55,11,11,15,188,53,,,,,,,,,,,,,,,,,
Alabama,2017,31,8/5/2017,949,879,16,193,,43,21,67,17,19,22,242,65,,,,,,,Suppressed (counts 1-9),,,,,,,,,,
Alabama,2017,32,8/12/2017,935,854,12,188,18,45,19,56,18,21,29,220,52,,,,,,,,,,,,,,,,,
Alabama,2017,33,8/19/2017,933,864,20,191,13,46,16,59,18,,20,222,58,,,,,,,,,,,,Suppressed (counts 1-9),,,,,
Alabama,2017,34,8/26/2017,916,837,23,190,16,49,15,64,18,17,23,209,40,,,,,,,,,,,,,,,,,
Alabama,2017,35,9/2/2017,953,874,18,192,16,47,16,49,22,19,22,228,58,,,,,,,,,,,,,,,,,
Alabama,2017,36,9/9/2017,960,898,15,200,20,37,28,52,17,18,21,249,58,,,,,,,,,,,,,,,,,
Alabama,2017,37,9/16/2017,968,889,29,175,16,54,24,57,16,24,23,224,49,,,,,,,,,,,,,,,,,
Alabama,2017,38,9/23/2017,995,904,11,226,24,49,11,55,13,15,17,254,45,,,,,,,,,,,,,,,,,
Alabama,2017,39,9/30/2017,1019,927,22,222,18,41,21,65,21,17,21,245,52,,,,,,,,,,,,,,,,,
Alabama,2017,40,10/7/2017,948,872,20,194,29,42,16,68,12,16,13,244,38,,,,,,,,,,,,,,,,,
Alabama,2017,41,10/14/2017,986,917,30,201,17,38,22,44,18,18,23,265,54,,,,,,,,,,,,,,,,,
Alabama,2017,42,10/21/2017,965,888,18,191,19,49,24,56,16,19,19,257,60,,,,,,,,,,,,,,,,,
Alabama,2017,43,10/28/2017,941,877,23,203,11,51,19,63,12,14,22,230,51,,,,,,,,,,,,,,,,,
Alabama,2017,44,11/4/2017,994,906,19,179,19,52,16,60,15,19,18,240,69,,,,,,,,,,,,,,,,,
Alabama,2017,45,11/11/2017,994,907,19,192,23,42,16,58,19,24,16,256,59,,,,,,,,,,,,,,,,,
Alabama,2017,46,11/18/2017,982,894,23,163,25,42,21,64,24,19,19,266,50,,,,,,,,,,,,,,,,,
Alabama,2017,47,11/25/2017,1004,931,15,196,30,38,20,67,19,24,25,252,50,,,,,,,,,,,,,,,,,
Alabama,2017,48,12/2/2017,1067,977,23,198,22,57,20,71,22,22,19,260,62,,,,,,,,,,,,,,,,,
Alabama,2017,49,12/9/2017,1074,988,16,213,18,53,27,76,23,23,32,257,50,,,,,,,,,,,,,,,,,
Alabama,2017,50,12/16/2017,1120,1047,20,201,35,57,28,95,19,18,18,285,55,,,,,,,,,,,,,,,,,
Alabama,2017,51,12/23/2017,1096,1010,27,197,24,52,17,76,22,23,30,293,65,,,,,,,,,,,,,,,,,
Alabama,2017,52,12/30/2017,1080,1001,18,204,24,48,34,97,20,14,10,299,54,,,,,,,,,,,,,,,,,
Alabama,2018,1,1/6/2018,1248,1159,31,212,34,66,44,109,18,19,30,320,59,,,,,,,,,,,,,,,,,
Alabama,2018,2,1/13/2018,1301,1215,20,206,28,64,68,98,26,23,36,331,76,,,,,,,,,,,,,,,,,
Alabama,2018,3,1/20/2018,1275,1190,29,210,25,61,67,89,21,21,30,347,58,,,,,,,,,,,,,,,,,
